Replicon Accession	Start	Stop	Strand	Locus tag	Length
NW_013524646.1	71949	74831	-	NEPG_00040	960
NW_013524646.1	75704	77638	-	NEPG_00041	644
NW_013524646.1	77819	80209	-	NEPG_00042	796
NW_013524646.1	80541	81155	-	NEPG_00043	204
NW_013524646.1	81184	82896	+	NEPG_00044	570
NW_013524646.1	83151	83441	+	NEPG_00046	96
NW_013524646.1	83478	83708	-	NEPG_00045	76
NW_013524646.1	84050	85366	+	NEPG_00047	438
NW_013524646.1	85956	86975	+	NEPG_00048	339
NW_013524646.1	87156	88529	-	NEPG_00049	457
NW_013524646.1	89089	89319	+	NEPG_00050	76
NW_013524646.1	89415	89951	+	NEPG_00051	178
NW_013524646.1	89971	90768	-	NEPG_00052	265
NW_013524646.1	90638	91045	+	NEPG_00053	135
NW_013524646.1	91112	91591	+	NEPG_00054	159
NW_013524646.1	91892	94741	+	NEPG_00055	949
NW_013524646.1	95060	96190	-	NEPG_00056	376
NW_013524646.1	96571	98979	+	NEPG_00057	802
NW_013524646.1	99377	100228	-	NEPG_00058	283
NW_013524646.1	100420	101376	+	NEPG_00059	318
NW_013524646.1	101571	101999	-	NEPG_00060	142
NW_013524646.1	102362	103096	+	NEPG_00061	244
NW_013524646.1	103711	105360	-	NEPG_00062	549
NW_013524646.1	105687	106415	+	NEPG_00063	242
NW_013524646.1	106528	106680	-	NEPG_00064	50
NW_013524646.1	106649	107326	-	NEPG_00065	225
NW_013524646.1	107611	108858	-	NEPG_00066	415
NW_013524646.1	109937	111679	-	NEPG_00067	580
NW_013524646.1	111972	112805	+	NEPG_00068	277
NW_013524646.1	113416	114750	-	NEPG_00069	444
NW_013524646.1	115796	116383	-	NEPG_00070	195
NW_013524646.1	116417	117202	+	NEPG_00071	261
NW_013524646.1	117779	118555	+	NEPG_00072	258
NW_013524646.1	119155	120672	-	NEPG_00073	505
NW_013524646.1	121059	123071	-	NEPG_00074	670
NW_013524646.1	123729	124691	+	NEPG_00075	320
NW_013524646.1	124915	125232	-	NEPG_00076	105
NW_013524646.1	125250	128375	+	NEPG_00077	1041
NW_013524646.1	129282	130742	+	NEPG_00078	486
NW_013524646.1	131111	132541	+	NEPG_00079	476
NW_013524646.1	132865	135051	-	NEPG_00080	728
NW_013524646.1	135323	135577	-	NEPG_00081	84
NW_013524646.1	135604	135759	+	NEPG_00082	51
NW_013524646.1	137037	137744	+	NEPG_00083	235
NW_013524646.1	138294	139169	-	NEPG_00084	291
NW_013524646.1	139189	139677	+	NEPG_00085	162
NW_013524646.1	140936	141496	+	NEPG_00086	186
NW_013524646.1	142005	143588	+	NEPG_00087	527
NW_013524646.1	144856	147141	+	NEPG_00088	761
NW_013524646.1	147411	147749	-	NEPG_00089	112
NW_013524646.1	147921	148430	-	NEPG_00090	169
NW_013524646.1	148497	148775	-	NEPG_00091	92
NW_013524646.1	149599	150429	-	NEPG_00092	276
NW_013524646.1	150455	151192	-	NEPG_00093	245
NW_013524646.1	151705	154440	-	NEPG_00094	911
NW_013524646.1	154641	155834	+	NEPG_00095	397
NW_013524646.1	156323	158230	-	NEPG_00096	635
NW_013524646.1	158822	159001	+	NEPG_00097	59
NW_013524646.1	159058	160452	-	NEPG_00098	464
NW_013524646.1	161184	161609	+	NEPG_00099	141
NW_013524646.1	161879	162997	+	NEPG_00100	372
NW_013524646.1	163047	164681	-	NEPG_00101	544
NW_013524646.1	164934	165209	-	NEPG_00103	91
NW_013524646.1	165257	165484	+	NEPG_00102	75
NW_013524646.1	166269	168338	+	NEPG_00104	689
NW_013524646.1	168410	169882	+	NEPG_00105	490
NW_013524646.1	170786	172771	+	NEPG_00106	661
NW_013524646.1	173076	174599	-	NEPG_00107	507
NW_013524646.1	174744	175160	-	NEPG_00108	138
NW_013524646.1	175732	176055	+	NEPG_00109	107
NW_013524646.1	176856	177155	+	NEPG_00110	99
NW_013524646.1	177300	178127	+	NEPG_00111	275
NW_013524646.1	178409	178672	-	NEPG_00112	87
NW_013524646.1	179344	180852	-	NEPG_00113	502
NW_013524646.1	180955	182736	+	NEPG_00114	593
NW_013524646.1	183050	183424	-	NEPG_00115	124
NW_013524646.1	183423	183731	+	NEPG_00116	102
NW_013524646.1	183797	184039	+	NEPG_00118	80
NW_013524646.1	184028	184249	-	NEPG_00117	73
NW_013524646.1	184600	185637	-	NEPG_00119	345
NW_013524646.1	185708	186913	+	NEPG_00120	401
NW_013524646.1	187241	188050	-	NEPG_00121	269
NW_013524646.1	188282	189181	-	NEPG_00122	299
NW_013524646.1	189915	190832	+	NEPG_00123	305
NW_013524646.1	190861	191352	+	NEPG_00124	163
NW_013524646.1	191580	194924	-	NEPG_00125	1114
NW_013524646.1	195060	195761	-	NEPG_00126	233
NW_013524646.1	196115	197419	-	NEPG_00127	434
NW_013524646.1	197755	198072	+	NEPG_00128	105
NW_013524646.1	198077	198226	-	NEPG_00129	49
NW_013524646.1	198283	198477	-	NEPG_00130	64
NW_013524646.1	199046	200263	-	NEPG_00131	405
NW_013524646.1	200618	201208	-	NEPG_00132	196
NW_013524646.1	201654	201950	+	NEPG_00133	98
NW_013524646.1	202328	202975	+	NEPG_00134	215
NW_013524646.1	203853	204161	+	NEPG_00135	102
NW_013524646.1	205101	206012	+	NEPG_00136	303
NW_013524646.1	206571	207275	-	NEPG_00137	234
NW_013524646.1	207513	207947	+	NEPG_00138	144
NW_013524646.1	208209	208691	-	NEPG_00139	160
NW_013524646.1	208646	210886	-	NEPG_00140	746
NW_013524646.1	211453	213255	-	NEPG_00141	600
NW_013524646.1	213285	213875	+	NEPG_00142	196
NW_013524646.1	214605	215873	-	NEPG_00143	422
NW_013524646.1	216030	216392	-	NEPG_00144	120
NW_013524646.1	216988	217560	+	NEPG_00145	190
NW_013524646.1	218495	219295	-	NEPG_00146	266
NW_013524646.1	220401	222146	-	NEPG_00147	581
NW_013524646.1	222203	222400	+	NEPG_00148	65
NW_013524646.1	222487	223533	-	NEPG_00149	348
NW_013524646.1	223535	223849	-	NEPG_00150	104
NW_013524646.1	224119	225408	-	NEPG_00151	429
NW_013524646.1	225423	226820	-	NEPG_00152	465
NW_013524646.1	227623	228183	-	NEPG_00153	186
NW_013524646.1	228180	228383	-	NEPG_00154	67
NW_013524646.1	228778	229182	-	NEPG_00155	134
NW_013524646.1	229470	230138	-	NEPG_00156	222
NW_013524646.1	230693	231154	-	NEPG_00157	153
NW_013524646.1	231232	232569	+	NEPG_00158	445
NW_013524646.1	233277	236108	+	NEPG_00159	943
NW_013524646.1	236521	237063	+	NEPG_00160	180
NW_013524646.1	237211	238260	+	NEPG_00161	349
NW_013524646.1	238301	238918	+	NEPG_00162	205
NW_013524646.1	238962	239297	+	NEPG_00163	111
NW_013524646.1	239490	239972	+	NEPG_00164	160
NW_013524646.1	240340	241428	+	NEPG_00165	362
NW_013524646.1	241695	244637	+	NEPG_00166	980
NW_013524646.1	245229	246623	-	NEPG_00167	464
NW_013524646.1	246734	247018	-	NEPG_00168	94
NW_013524646.1	247152	247982	-	NEPG_00169	276
NW_013524646.1	248322	250235	+	NEPG_00170	637
NW_013524646.1	252406	252591	-	NEPG_00172	61
NW_013524646.1	252899	253267	-	NEPG_00173	122
NW_013524646.1	253537	254325	-	NEPG_00174	262
NW_013524646.1	254996	255766	+	NEPG_00175	256
NW_013524646.1	255911	256198	+	NEPG_00176	95
NW_013524646.1	256770	257012	+	NEPG_00177	80
NW_013524646.1	257815	258711	+	NEPG_00178	298
NW_013524646.1	259276	262353	+	NEPG_00179	1025
NW_013524646.1	262762	262920	+	NEPG_00180	52
NW_013524646.1	263415	265043	+	NEPG_00181	542
NW_013524646.1	265377	266450	-	NEPG_00182	357
NW_013524646.1	266428	268272	-	NEPG_00183	614
NW_013524646.1	269020	270237	+	NEPG_00184	405
NW_013524646.1	270958	273708	+	NEPG_00185	916
NW_013524646.1	274091	274387	-	NEPG_00186	98
NW_013524646.1	274489	275835	-	NEPG_00187	448
NW_013524646.1	276022	276876	+	NEPG_00188	284
NW_013524646.1	276959	277627	-	NEPG_00189	222
NW_013524646.1	278077	278634	-	NEPG_00190	185
NW_013524646.1	278659	278934	+	NEPG_00191	91
NW_013524646.1	278906	279502	+	NEPG_00192	198
NW_013524646.1	279548	280114	+	NEPG_00193	188
NW_013524646.1	280319	281182	+	NEPG_00194	287
NW_013524646.1	281353	281985	-	NEPG_00195	210
NW_013524646.1	282100	283110	-	NEPG_00196	336
NW_013524646.1	283528	284142	+	NEPG_00197	204
NW_013524646.1	284476	286299	-	NEPG_00198	607
NW_013524646.1	286471	286635	+	NEPG_00199	54
NW_013524646.1	286965	288254	+	NEPG_00200	429
NW_013524646.1	288963	291695	-	NEPG_00201	910
NW_013524646.1	292384	293028	-	NEPG_00202	214
NW_013524646.1	293573	294673	-	NEPG_00203	366
NW_013524646.1	295354	296589	+	NEPG_00204	411
NW_013524646.1	296929	298761	-	NEPG_00205	610
NW_013524646.1	298748	298948	+	NEPG_00206	66
NW_013524646.1	299422	300318	+	NEPG_00207	298
NW_013524646.1	300937	301443	-	NEPG_00208	168
NW_013524646.1	301480	302130	+	NEPG_00209	216
NW_013524646.1	303025	303447	+	NEPG_00210	140
NW_013524646.1	303464	303736	+	NEPG_00211	90
NW_013524646.1	303848	304234	-	NEPG_00212	128
NW_013524646.1	304874	307260	-	NEPG_00213	776
NW_013524646.1	308318	309109	-	NEPG_00214	263
NW_013524646.1	309557	309982	-	NEPG_00215	141
NW_013524646.1	310478	311935	-	NEPG_00216	485
NW_013524646.1	311953	314622	+	NEPG_00217	889
NW_013524646.1	314772	315362	+	NEPG_00218	196
NW_013524646.1	315944	316240	-	NEPG_00219	98
NW_013524646.1	316339	317517	-	NEPG_00220	392
NW_013524646.1	317983	319146	-	NEPG_00221	387
NW_013524646.1	319132	319518	+	NEPG_00222	128
NW_013524646.1	319626	319793	+	NEPG_00223	55
NW_013524646.1	320386	322650	-	NEPG_00224	754
NW_013524646.1	323000	325327	-	NEPG_00225	775
NW_013524646.1	326125	327366	+	NEPG_00226	413
NW_013524646.1	327615	328364	+	NEPG_00227	249
NW_013524646.1	328651	331362	+	NEPG_00228	903
NW_013524646.1	331588	332643	-	NEPG_00229	351
NW_013524646.1	332586	332837	-	NEPG_00230	83
NW_013524646.1	333681	336713	+	NEPG_00231	1010
NW_013524646.1	337814	339598	+	NEPG_00232	595
NW_013524646.1	339989	340597	+	NEPG_00233	202
NW_013524646.1	341465	341728	+	NEPG_00234	87
NW_013524646.1	341755	344505	+	NEPG_00235	916
NW_013524646.1	346293	347837	-	NEPG_00236	514
NW_013524646.1	348283	348837	+	NEPG_00237	184
NW_013524646.1	349603	350487	+	NEPG_00238	294
NW_013524646.1	350876	351220	-	NEPG_00239	114
NW_013524646.1	352601	355705	-	NEPG_00241	1034
NW_013524646.1	355668	356690	-	NEPG_00242	340
NW_013524646.1	356889	357383	-	NEPG_00243	164
NW_013524646.1	357962	358231	-	NEPG_00244	89
NW_013524646.1	358382	359299	+	NEPG_00245	305
NW_013524646.1	359378	360517	+	NEPG_00246	379
NW_013524646.1	360660	363281	+	NEPG_00247	873
NW_013524646.1	363358	363630	+	NEPG_00249	90
NW_013524646.1	363634	364148	-	NEPG_00248	170
NW_013524646.1	364961	365608	-	NEPG_00250	215
NW_013524646.1	365890	368790	-	NEPG_00251	966
NW_013524646.1	369149	370288	-	NEPG_00252	379
NW_013524646.1	370063	371703	+	NEPG_00253	546
NW_013524646.1	371905	373626	-	NEPG_00254	573
NW_013524646.1	373676	374263	+	NEPG_00255	195
NW_013524646.1	374778	377204	-	NEPG_00256	808
NW_013524646.1	377548	377748	-	NEPG_00257	66
NW_013524646.1	377865	378230	-	NEPG_00258	121
NW_013524646.1	378452	379690	-	NEPG_00259	412
NW_013524646.1	380480	382093	+	NEPG_00260	537
NW_013524646.1	382323	383087	+	NEPG_00261	254
NW_013524646.1	383876	386527	+	NEPG_00262	883
NW_013524646.1	387482	388123	+	NEPG_00263	213
NW_013524646.1	388192	389358	-	NEPG_00264	388
NW_013524646.1	389896	392748	+	NEPG_00265	950
NW_013524646.1	393118	393336	-	NEPG_00266	72
NW_013524646.1	394203	394433	+	NEPG_00267	76
NW_013524646.1	394918	397905	-	NEPG_00268	995
NW_013524646.1	398702	399550	-	NEPG_00269	282
NW_013524646.1	399561	399761	+	NEPG_00270	66
NW_013524646.1	399835	400029	+	NEPG_00271	64
NW_013524646.1	400500	400919	+	NEPG_00272	139
NW_013524646.1	401618	402223	-	NEPG_00273	201
NW_013524646.1	402741	403808	+	NEPG_00274	355
NW_013524646.1	403862	404806	+	NEPG_00275	314
NW_013524646.1	405421	406779	+	NEPG_00276	452
NW_013524646.1	406924	407115	+	NEPG_00277	63
NW_013524646.1	407297	408031	+	NEPG_00278	244
NW_013524646.1	409140	409932	+	NEPG_00279	263
NW_013524646.1	410043	410582	+	NEPG_00280	179
NW_013524646.1	410664	411947	-	NEPG_00281	427
NW_013524646.1	412143	413543	+	NEPG_00282	466
NW_013524646.1	413779	414654	-	NEPG_00283	291
NW_013524646.1	414685	414963	+	NEPG_00284	92
NW_013524646.1	414956	416296	+	NEPG_00285	446
NW_013524646.1	416559	417689	+	NEPG_00286	376
NW_013524646.1	418006	418527	+	NEPG_00287	173
NW_013524646.1	418524	419408	+	NEPG_00288	294
NW_013524646.1	419887	422190	+	NEPG_00289	767
NW_013524646.1	422646	423926	-	NEPG_00290	426
NW_013524646.1	423982	424713	+	NEPG_00291	243
NW_013524646.1	424880	426586	+	NEPG_00292	568
NW_013524646.1	428168	429208	+	NEPG_00293	346
NW_013524646.1	429221	434677	+	NEPG_00294	1818
NW_013524646.1	435009	436307	-	NEPG_00295	432
NW_013524646.1	436333	439428	-	NEPG_00296	1031
NW_013524646.1	439470	440090	+	NEPG_00297	206
NW_013524646.1	440433	440630	-	NEPG_00298	65
NW_013524646.1	440663	442609	-	NEPG_00299	648
NW_013524646.1	442688	442948	+	NEPG_00300	86
NW_013524646.1	443163	444644	+	NEPG_00301	493
NW_013524646.1	445055	445621	+	NEPG_00302	188
NW_013524646.1	445742	449290	-	NEPG_00303	1182
NW_013524646.1	449950	450405	-	NEPG_00304	151
NW_013524646.1	450719	451999	+	NEPG_00305	426
NW_013524646.1	452174	452989	+	NEPG_00306	271
NW_013524646.1	453005	454633	+	NEPG_00307	542
NW_013524646.1	454654	455247	-	NEPG_00308	197
NW_013524646.1	455256	456047	-	NEPG_00309	263
NW_013524646.1	456101	456448	-	NEPG_00310	115
NW_013524646.1	456504	457259	-	NEPG_00311	251
NW_013524646.1	457441	459363	+	NEPG_00312	640
NW_013524646.1	459809	460771	+	NEPG_00313	320
NW_013524646.1	460803	461690	+	NEPG_00314	295
NW_013524646.1	462604	465486	-	NEPG_00315	960
NW_013524646.1	465526	466014	+	NEPG_00316	162
NW_013524646.1	466040	468652	+	NEPG_00317	870
NW_013524646.1	468823	469224	-	NEPG_00318	133
NW_013524646.1	470034	472424	-	NEPG_00319	796
NW_013524646.1	472530	473777	+	NEPG_00320	415
NW_013524646.1	474051	474293	+	NEPG_00322	80
NW_013524646.1	474398	475501	-	NEPG_00321	367
NW_013524646.1	475889	476146	+	NEPG_00323	85
NW_013524646.1	476367	478046	-	NEPG_00324	559
NW_013524646.1	478668	480500	-	NEPG_00325	610
NW_013524646.1	481510	481899	-	NEPG_00326	129
NW_013524646.1	481940	484921	+	NEPG_00327	993
NW_013524646.1	485204	486805	-	NEPG_00328	533
NW_013524646.1	487362	490091	-	NEPG_00329	909
NW_013524646.1	490256	490924	-	NEPG_00330	222
NW_013524646.1	490815	491036	+	NEPG_00331	73
NW_013524646.1	491143	492672	-	NEPG_00332	509
NW_013524646.1	492834	494063	+	NEPG_00333	409
NW_013524646.1	494401	496176	-	NEPG_00334	591
NW_013524646.1	496602	497315	-	NEPG_00335	237
NW_013524646.1	497348	498100	+	NEPG_00336	250
NW_013524646.1	498391	499035	-	NEPG_00337	214
NW_013524646.1	498973	500298	+	NEPG_00338	441
NW_013524646.1	500600	501553	+	NEPG_00339	317
NW_013524646.1	501766	502638	+	NEPG_00340	290
NW_013524646.1	502658	503431	-	NEPG_00341	257
NW_013524646.1	503832	504848	-	NEPG_00342	338
NW_013524646.1	505026	506096	-	NEPG_00343	356
NW_013524646.1	506508	511226	-	NEPG_00344	1572
NW_013524646.1	511424	512503	-	NEPG_00345	359
NW_013524646.1	512513	512800	+	NEPG_00346	95
NW_013524646.1	513054	515897	-	NEPG_00347	947
NW_013524646.1	516087	518690	-	NEPG_00348	867
NW_013524646.1	518722	518991	+	NEPG_00349	89
NW_013524646.1	519025	519339	-	NEPG_00350	104
NW_013524646.1	519437	520813	-	NEPG_00351	458
NW_013524646.1	520977	522350	+	NEPG_00352	457
NW_013524646.1	522477	522917	-	NEPG_00353	146
NW_013524646.1	523462	524952	+	NEPG_00354	496
NW_013524646.1	525045	526652	+	NEPG_00355	535
NW_013524646.1	527221	528075	-	NEPG_00356	284
NW_013524646.1	528082	528846	+	NEPG_00357	254
NW_013524646.1	529503	530570	+	NEPG_00358	355
NW_013524646.1	530753	534538	+	NEPG_00359	1261
NW_013524646.1	534684	536771	-	NEPG_00360	695
NW_013524646.1	536756	537439	+	NEPG_00361	227
NW_013524646.1	537812	539473	+	NEPG_00362	553
NW_013524646.1	540265	541500	-	NEPG_00363	411
NW_013524646.1	541685	541960	-	NEPG_00364	91
NW_013524646.1	542651	543013	-	NEPG_00365	120
NW_013524646.1	543052	543489	-	NEPG_00366	145
NW_013524646.1	543508	544149	-	NEPG_00367	213
NW_013524646.1	544136	544642	-	NEPG_00368	168
NW_013524646.1	544655	544912	+	NEPG_00369	85
NW_013524646.1	545377	546165	+	NEPG_00370	262
NW_013524646.1	546226	547227	+	NEPG_00371	333
NW_013524646.1	547480	547917	-	NEPG_00372	145
NW_013524646.1	548487	548792	-	NEPG_00373	101
NW_013524646.1	550363	551172	-	NEPG_00375	269
NW_013524646.1	551219	553159	-	NEPG_00376	646
NW_013524646.1	553175	554233	+	NEPG_00377	352
NW_013524646.1	554294	556165	+	NEPG_00378	623
NW_013524646.1	556360	556656	+	NEPG_00379	98
NW_013524646.1	556809	557777	-	NEPG_00380	322
NW_013524646.1	558184	558471	-	NEPG_00381	95
NW_013524646.1	558675	559208	+	NEPG_00382	177
NW_013524646.1	559271	560824	+	NEPG_00383	517
NW_013524646.1	560953	562653	+	NEPG_00384	566
NW_013524646.1	562737	564926	-	NEPG_00385	729
NW_013524646.1	564957	565487	-	NEPG_00386	176
NW_013524646.1	565715	566236	-	NEPG_00387	173
NW_013524646.1	566624	568561	-	NEPG_00388	645
NW_013524646.1	568575	569354	+	NEPG_00389	259
NW_013524646.1	569730	570755	-	NEPG_00390	341
NW_013524646.1	570774	570932	+	NEPG_00391	52
NW_013524646.1	570945	571271	+	NEPG_00392	108
NW_013524646.1	571339	572223	-	NEPG_00393	294
NW_013524646.1	572232	573740	-	NEPG_00394	502
NW_013524646.1	574209	576122	-	NEPG_00395	637
NW_013524646.1	576164	576907	+	NEPG_00396	247
NW_013524646.1	577306	577560	-	NEPG_00397	84
NW_013524646.1	577613	577978	+	NEPG_00398	121
NW_013524646.1	578322	579662	+	NEPG_00399	446
NW_013524646.1	579663	579956	-	NEPG_00400	97
NW_013524646.1	580066	580713	+	NEPG_00401	215
NW_013524646.1	580958	582022	+	NEPG_00402	354
NW_013524646.1	582269	583213	-	NEPG_00403	314
NW_013524646.1	583430	584551	-	NEPG_00404	373
NW_013524646.1	584905	585432	-	NEPG_00405	175
NW_013524646.1	585605	589018	+	NEPG_00406	1137
NW_013524646.1	589260	590951	-	NEPG_00407	563
NW_013524646.1	590998	591693	-	NEPG_00408	231
NW_013524646.1	591945	592433	-	NEPG_00409	162
NW_013524646.1	592534	594039	+	NEPG_00410	501
NW_013524646.1	594286	596079	+	NEPG_00411	597
NW_013524646.1	596474	597379	-	NEPG_00412	301
NW_013524646.1	597504	597914	+	NEPG_00413	136
NW_013524646.1	598650	599270	+	NEPG_00414	206
NW_013524646.1	599751	600266	+	NEPG_00415	171
NW_013524646.1	600403	602034	+	NEPG_00416	544
NW_013524646.1	602405	602626	+	NEPG_00417	73
NW_013524646.1	604774	605808	+	NEPG_00418	344
NW_013524646.1	605904	606659	+	NEPG_00419	251
NW_013524646.1	606770	607897	+	NEPG_00420	375
NW_013524646.1	608240	608803	+	NEPG_00421	187
NW_013524646.1	609757	610032	+	NEPG_00422	91
NW_013524646.1	610145	610375	+	NEPG_00423	76
NW_013524646.1	611208	611468	+	NEPG_00424	86
NW_013524646.1	611512	614910	+	NEPG_00425	1132
NW_013524646.1	615582	616454	-	NEPG_00426	290
NW_013524646.1	616462	617370	-	NEPG_00427	302
NW_013524646.1	617389	618219	-	NEPG_00428	276
NW_013524646.1	618244	618567	-	NEPG_00429	107
NW_013524646.1	618661	619782	-	NEPG_00430	373
NW_013524646.1	619814	620701	+	NEPG_00431	295
NW_013524646.1	622054	624621	-	NEPG_00432	855
NW_013524646.1	624630	625469	-	NEPG_00433	279
NW_013524646.1	625778	626854	-	NEPG_00434	358
NW_013524646.1	627424	628167	-	NEPG_00435	247
NW_013524646.1	628122	629078	-	NEPG_00436	318
NW_013524646.1	629106	631298	+	NEPG_00437	730
NW_013524646.1	632014	632382	-	NEPG_00438	122
NW_013524646.1	632461	632976	-	NEPG_00439	171
NW_013524646.1	633087	634079	+	NEPG_00440	330
NW_013524646.1	634220	634921	-	NEPG_00441	233
NW_013524646.1	635245	636867	-	NEPG_00442	540
NW_013524646.1	637306	639138	-	NEPG_00443	610
NW_013524646.1	639572	640678	-	NEPG_00444	368
NW_013524646.1	640972	641199	-	NEPG_00445	75
NW_013524646.1	641207	641896	-	NEPG_00446	229
NW_013524646.1	641900	643618	+	NEPG_00447	572
NW_013524646.1	643613	644545	-	NEPG_00448	310
NW_013524646.1	644583	644882	-	NEPG_00449	99
NW_013524646.1	644897	645232	+	NEPG_00450	111
NW_013524646.1	645280	647892	+	NEPG_00451	870
NW_013524646.1	648258	650843	-	NEPG_00452	861
NW_013524646.1	651016	654369	-	NEPG_00453	1117
NW_013524646.1	655369	655551	-	NEPG_00454	60
NW_013524646.1	655612	657600	-	NEPG_00455	662
NW_013524646.1	657853	659949	+	NEPG_00456	698
NW_013524646.1	660130	661887	-	NEPG_00457	585
NW_013524646.1	662152	662640	-	NEPG_00458	162
NW_013524646.1	662743	663297	+	NEPG_00459	184
NW_013524646.1	663598	664764	+	NEPG_00460	388
NW_013524646.1	664807	665742	+	NEPG_00461	311
NW_013524646.1	666105	668147	+	NEPG_00462	680
NW_013524646.1	668769	669656	-	NEPG_00463	295
NW_013524646.1	669684	670952	+	NEPG_00464	422
NW_013524646.1	671058	671879	+	NEPG_00465	273
NW_013524646.1	671916	673454	-	NEPG_00466	512
NW_013524646.1	673644	676010	+	NEPG_00467	788
NW_013524646.1	676580	678964	+	NEPG_00468	794
NW_013524646.1	679324	679647	+	NEPG_00469	107
NW_013524646.1	679662	681326	+	NEPG_00470	554
NW_013524646.1	681364	681927	+	NEPG_00471	187
NW_013524646.1	681963	683077	+	NEPG_00472	361
NW_013524646.1	683343	686552	+	NEPG_00473	1069
NW_013524646.1	686604	687062	+	NEPG_00474	152
NW_013524646.1	687177	690173	+	NEPG_00475	998
NW_013524646.1	690560	693643	-	NEPG_00476	1027
NW_013524646.1	693660	694154	+	NEPG_00477	164
NW_013524646.1	694141	694461	+	NEPG_00478	106
NW_013524646.1	695073	695597	+	NEPG_00479	174
NW_013524646.1	695759	696556	+	NEPG_00480	265
NW_013524646.1	696741	698339	+	NEPG_00481	532
NW_013524646.1	698501	698950	-	NEPG_00482	149
NW_013524646.1	698970	699764	-	NEPG_00483	264
NW_013524646.1	699851	700171	-	NEPG_00484	106
NW_013524646.1	700192	700533	-	NEPG_00485	113
NW_013524646.1	700996	702822	-	NEPG_00486	608
NW_013524646.1	703464	704144	+	NEPG_00487	226
NW_013524646.1	705086	705373	+	NEPG_00488	95
NW_013524646.1	705713	707149	+	NEPG_00489	478
NW_013524646.1	707740	707985	+	NEPG_00490	81
NW_013524646.1	708070	708315	-	NEPG_00491	81
NW_013524646.1	709049	710269	-	NEPG_00492	406
NW_013524646.1	710300	710590	-	NEPG_00493	96
NW_013524646.1	710683	710883	+	NEPG_00494	66
NW_013524646.1	711630	711956	+	NEPG_00495	108
NW_013524646.1	711953	712603	-	NEPG_00496	216
NW_013524646.1	712873	713589	+	NEPG_00497	238
NW_013524646.1	713711	714925	-	NEPG_00498	404
NW_013524646.1	714959	715573	+	NEPG_00499	204
NW_013524646.1	716045	717157	+	NEPG_00500	370
NW_013524646.1	717620	719383	-	NEPG_00501	587
NW_013524646.1	719409	720809	+	NEPG_00502	466
NW_013524646.1	721213	721962	+	NEPG_00503	249
NW_013524646.1	722058	722342	+	NEPG_00504	94
NW_013524646.1	722345	723454	+	NEPG_00505	369
NW_013524646.1	723955	726267	-	NEPG_00506	770
NW_013524646.1	726350	727048	+	NEPG_00507	232
NW_013524646.1	727382	728767	-	NEPG_00508	461
NW_013524646.1	729332	730141	+	NEPG_00509	269
NW_013524646.1	730811	731566	-	NEPG_00510	251
NW_013524646.1	731683	732033	+	NEPG_00511	116
NW_013524646.1	732475	733257	-	NEPG_00512	260
NW_013524646.1	733341	734072	+	NEPG_00513	243
NW_013524646.1	734458	735219	-	NEPG_00514	253
NW_013524646.1	736656	741215	+	NEPG_00515	1519
NW_013524646.1	741758	742378	+	NEPG_00516	206
NW_013524646.1	742606	743058	-	NEPG_00517	150
NW_013524646.1	743330	743665	-	NEPG_00518	111
